GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
javaturorial,cn.byhieg.annotationstutorial,AMethodProcess,12,60,2,6,3,11,3,3,1,1
javaturorial,cn.byhieg.annotationstutorial,AConstructorProcess,8,50,2,4,2,12,3,2,1,1
javaturorial,cn.byhieg.annotationstutorial,APTProcessor,303,0,6,0,45,0,8,0,5,0
javaturorial,cn.byhieg.annotationstutorial,User,0,22,0,0,0,5,0,3,0,3
javaturorial,cn.byhieg.designpatterntutorial.singleton,SimpleSingleton,8,0,2,0,3,0,2,0,1,0
javaturorial,cn.byhieg.designpatterntutorial.singleton,DCLSingleton,17,0,4,0,6,0,3,0,1,0
javaturorial,cn.byhieg.designpatterntutorial.singleton,HungrySingleton,5,0,0,0,1,0,1,0,1,0
javaturorial,cn.byhieg.designpatterntutorial.singleton,StaticSingleton.Holder,6,0,0,0,1,0,1,0,1,0
javaturorial,cn.byhieg.designpatterntutorial.singleton,StaticSingleton,2,0,0,0,1,0,1,0,1,0
javaturorial,cn.byhieg.designpatterntutorial.singleton,EnumSingleton,20,0,0,0,3,0,3,0,3,0
javaturorial,cn.byhieg.designpatterntutorial.builder,Person.Builder,0,28,0,0,0,10,0,6,0,6
javaturorial,cn.byhieg.designpatterntutorial.builder,SimpleDialog.Builder,6,73,0,0,2,15,1,6,1,6
javaturorial,cn.byhieg.designpatterntutorial.builder,SimpleDialogController,19,19,0,0,7,9,6,5,6,5
javaturorial,cn.byhieg.designpatterntutorial.builder,SimpleDialog,25,8,0,0,10,3,5,1,5,1
javaturorial,cn.byhieg.designpatterntutorial.builder,Person,12,44,0,0,4,7,4,2,4,2
javaturorial,cn.byhieg.designpatterntutorial.builder,SimpleDialogController.DialogParams,4,35,5,5,1,11,5,2,0,2
javaturorial,cn.byhieg.collectiontutorial.listtutorial,SimpleLinkedList.Node,0,12,0,0,0,5,0,1,0,1
javaturorial,cn.byhieg.collectiontutorial.listtutorial,SimpleLinkedList,118,139,22,12,34,42,19,12,4,10
javaturorial,cn.byhieg.collectiontutorial.listtutorial,LinkedListDemo,4,11,0,0,2,3,1,2,1,2
javaturorial,cn.byhieg.collectiontutorial.listtutorial,ArrayListDemo,3,27,0,0,1,7,1,4,1,4
javaturorial,cn.byhieg.collectiontutorial.listtutorial,SimpleArrayList,101,163,27,11,20,38,22,12,4,11
