GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Java,com.thealgorithms.strings.zigZagPattern,zigZagPattern,5,91,2,12,1,20,3,6,1,1
Java,com.thealgorithms.datastructures.trees,Main,88,0,8,0,22,0,8,0,4,0
Java,com.thealgorithms.datastructures.trees,RedBlackBST.Node,30,0,0,0,5,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,VerticalOrderTraversal,206,0,14,0,39,0,10,0,3,0
Java,com.thealgorithms.datastructures.trees,BSTRecursive,406,0,70,0,101,0,50,0,15,0
Java,com.thealgorithms.datastructures.trees,CreateBinaryTreeFromInorderPreorder,381,0,8,0,56,0,9,0,5,0
Java,com.thealgorithms.datastructures.trees,Tree,97,0,10,0,24,0,8,0,3,0
Java,com.thealgorithms.datastructures.trees,AVLSimple.Node,12,0,0,0,4,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,Node,156,0,24,0,40,0,18,0,6,0
Java,com.thealgorithms.datastructures.trees,BSTRecursiveGeneric.Node,12,0,0,0,5,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,CheckIfBinaryTreeBalanced.BinaryTree,9,0,0,0,2,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,BSTIterative,528,0,92,0,140,0,55,0,9,0
Java,com.thealgorithms.datastructures.trees,AVLTree,538,0,74,0,126,0,54,0,17,0
Java,com.thealgorithms.datastructures.trees,AVLSimple,317,0,34,0,51,0,26,0,9,0
Java,com.thealgorithms.datastructures.trees,BSTRecursiveGeneric,557,0,96,0,130,0,65,0,17,0
Java,com.thealgorithms.datastructures.trees,QItem,9,0,0,0,4,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,CreateBSTFromSortedArray,147,0,2,0,21,0,5,0,4,0
Java,com.thealgorithms.datastructures.trees,LevelOrderTraversalQueue,47,0,6,0,12,0,5,0,2,0
Java,com.thealgorithms.datastructures.trees,NRKTree,56,0,6,0,17,0,6,0,3,0
Java,com.thealgorithms.datastructures.trees,BinaryTree,421,0,64,0,114,0,43,0,11,0
Java,com.thealgorithms.datastructures.trees,TrieImp.TrieNode,13,0,0,0,4,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,BSTRecursive.Node,12,0,0,0,5,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,RedBlackBST,926,0,104,0,226,0,66,0,14,0
Java,com.thealgorithms.datastructures.trees,ValidBSTOrNot.Node,15,0,0,0,4,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,TreeRandomNode,68,0,2,0,18,0,5,0,4,0
Java,com.thealgorithms.datastructures.trees,TreeNode,12,0,0,0,4,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,LCA,169,0,16,0,36,0,13,0,5,0
Java,com.thealgorithms.datastructures.trees,ValidBSTOrNot,47,0,10,0,9,0,8,0,3,0
Java,com.thealgorithms.datastructures.trees,GenericTree,492,0,42,0,94,0,42,0,21,0
Java,com.thealgorithms.datastructures.trees,LazySegmentTree,2,155,1,19,0,29,1,16,0,7
Java,com.thealgorithms.datastructures.trees,TreeTraversal,55,0,0,0,21,0,2,0,2,0
Java,com.thealgorithms.datastructures.trees,CeilInBinarySearchTree,33,0,8,0,9,0,6,0,2,0
Java,com.thealgorithms.datastructures.trees,AVLTree.Node,12,0,0,0,4,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,LevelOrderTraversal,76,0,10,0,18,0,9,0,4,0
Java,com.thealgorithms.datastructures.trees,TreeRandomNode.Node,15,0,0,0,4,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,BSTIterative.Node,12,0,0,0,5,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,LevelOrderTraversalQueue.Node,15,0,0,0,5,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,CheckIfBinaryTreeBalanced.BTNode,15,0,0,0,5,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,BinaryTree.Node,15,0,0,0,6,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,GenericTree.Node,11,0,0,0,2,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,LazySegmentTree.Node,4,112,5,9,0,27,4,10,0,7
Java,com.thealgorithms.datastructures.trees,TrieImp,228,0,29,0,71,0,23,0,7,0
Java,com.thealgorithms.datastructures.trees,LevelOrderTraversal.Node,15,0,0,0,4,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,PrintTopViewofTree,55,0,0,0,11,0,2,0,2,0
Java,com.thealgorithms.datastructures.trees,CheckIfBinaryTreeBalanced,403,0,24,0,81,0,19,0,7,0
Java,com.thealgorithms.datastructures.trees,FenwickTree,56,0,4,0,15,0,5,0,3,0
Java,com.thealgorithms.datastructures.trees,SegmentTree,254,0,26,0,42,0,19,0,6,0
Java,com.thealgorithms.devutils.nodes,SimpleNode,28,0,2,0,11,0,7,0,6,0
Java,com.thealgorithms.devutils.nodes,LargeTreeNode,38,0,4,0,13,0,9,0,7,0
Java,com.thealgorithms.devutils.nodes,Node,16,0,0,0,7,0,4,0,4,0
Java,com.thealgorithms.devutils.nodes,TreeNode,51,0,2,0,16,0,8,0,7,0
Java,com.thealgorithms.devutils.nodes,SimpleTreeNode,47,0,4,0,17,0,11,0,9,0
Java,com.thealgorithms.datastructures.buffers,CircularBuffer.CircularPointer,0,28,0,2,0,9,0,3,0,2
Java,com.thealgorithms.datastructures.buffers,CircularBuffer,0,83,0,8,0,18,0,9,0,5
Java,com.thealgorithms.conversions,BinaryToOctal,77,0,4,0,20,0,5,0,3,0
Java,com.thealgorithms.conversions,BinaryToHexadecimal,116,0,8,0,23,0,7,0,3,0
Java,com.thealgorithms.conversions,BinaryToDecimal,55,0,2,0,13,0,3,0,2,0
Java,com.thealgorithms.conversions,DecimalToAnyBase,123,0,8,0,25,0,8,0,4,0
Java,com.thealgorithms.conversions,RomanToInteger.new HashMap() {...},52,0,0,0,9,0,1,0,1,0
Java,com.thealgorithms.conversions,AnyBaseToAnyBase,354,0,28,0,50,0,18,0,4,0
Java,com.thealgorithms.conversions,RgbHsvConversion,936,0,146,0,97,0,81,0,8,0
Java,com.thealgorithms.conversions,HexaDecimalToBinary,118,0,4,0,14,0,6,0,4,0
Java,com.thealgorithms.conversions,RomanToInteger,80,0,8,0,19,0,8,0,4,0
Java,com.thealgorithms.conversions,HexToOct,96,0,4,0,26,0,6,0,4,0
Java,com.thealgorithms.conversions,OctalToDecimal,47,0,2,0,14,0,4,0,3,0
Java,com.thealgorithms.conversions,IntegerToRoman,165,0,6,0,14,0,7,0,4,0
Java,com.thealgorithms.conversions,TurkishToLatinConversion,165,0,2,0,13,0,4,0,3,0
Java,com.thealgorithms.conversions,DecimalToOctal,55,0,2,0,13,0,3,0,2,0
Java,com.thealgorithms.conversions,DecimalToBinary,112,0,4,0,26,0,6,0,4,0
Java,com.thealgorithms.conversions,OctalToHexadecimal,94,0,6,0,26,0,7,0,4,0
Java,com.thealgorithms.conversions,AnytoAny,69,0,4,0,18,0,4,0,2,0
Java,com.thealgorithms.conversions,HexaDecimalToDecimal,59,0,2,0,15,0,4,0,3,0
Java,com.thealgorithms.conversions,DecimalToHexaDecimal,135,0,2,0,16,0,5,0,4,0
Java,com.thealgorithms.conversions,AnyBaseToDecimal,161,0,32,0,19,0,21,0,5,0
Java,com.thealgorithms.matrixexponentiation,Fibonacci,221,0,16,0,32,0,13,0,5,0
