GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Reflections,org.reflections,ReflectionUtils,26,338,4,20,6,49,8,42,4,34
Reflections,org.reflections,Reflections,197,913,14,52,29,137,26,68,13,48
Reflections,org.reflections,ReflectionsException,4,9,0,0,2,4,1,2,1,2
Reflections,org.reflections,Store,3,4,0,0,1,1,1,1,1,1
Reflections,org.reflections,ReflectionUtils.new UtilQueryBuilder() {...},0,20,0,0,0,3,0,3,0,3
Reflections,org.reflections,ReflectionUtils.new UtilQueryBuilder() {...},0,25,0,0,0,3,0,4,0,4
Reflections,org.reflections,ReflectionUtils.new UtilQueryBuilder() {...},0,22,0,0,0,3,0,4,0,4
Reflections,org.reflections.util,ClasspathHelper,415,255,52,26,82,49,39,19,9,10
Reflections,org.reflections.util,AnnotationMergeCollector,83,86,11,7,9,18,13,15,7,12
Reflections,org.reflections.util,NameHelper,10,600,3,49,3,67,3,43,0,20
Reflections,org.reflections.util,FilterBuilder.Exclude,10,14,0,2,1,2,1,3,1,2
Reflections,org.reflections.util,QueryBuilder,40,66,0,0,7,9,7,10,7,10
Reflections,org.reflections.util,FilterBuilder.Include,10,10,0,0,1,2,1,2,1,2
Reflections,org.reflections.util,UtilQueryBuilder,0,37,0,0,0,4,0,5,0,5
Reflections,org.reflections.util,ReflectionUtilsPredicates,127,370,43,63,17,40,49,60,16,40
Reflections,org.reflections.util,QueryFunction,56,211,4,8,5,23,10,25,7,22
Reflections,org.reflections.util,JavassistHelper,15,274,5,27,2,42,6,26,1,15
Reflections,org.reflections.util,ConfigurationBuilder,107,336,12,32,9,60,13,36,4,23
Reflections,org.reflections.util,FilterBuilder.Matcher,14,29,4,4,2,2,6,2,2,2
Reflections,org.reflections.util,FilterBuilder,44,204,5,26,5,33,9,22,4,11
Reflections,org.reflections.vfs,ZipFile,17,32,0,0,1,8,1,4,1,4
Reflections,org.reflections.vfs,ZipDir,12,48,3,3,3,11,3,8,1,7
