GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SPDX tools,org.spdx.spdxspreadsheet,NonStandardLicensesSheet,11,19,1,1,3,5,2,2,1,2
SPDX tools,org.spdx.spdxspreadsheet,AbstractSpreadsheet,151,47,9,5,30,18,7,4,0,4
SPDX tools,org.spdx.spdxspreadsheet,PerFileSheetV2d2,210,1226,71,105,40,190,65,32,1,8
SPDX tools,org.spdx.spdxspreadsheet,PerFileSheetV2d0,511,869,100,68,98,125,67,26,2,7
SPDX tools,org.spdx.spdxspreadsheet,PerFileSheetV09d3,826,0,94,0,143,0,55,0,8,0
SPDX tools,org.spdx.spdxspreadsheet,AbstractSheet,174,297,28,12,43,82,18,15,2,11
SPDX tools,org.spdx.spdxspreadsheet,PerFileSheet,38,89,3,5,9,24,3,6,0,5
SPDX tools,org.spdx.spdxspreadsheet,OriginsSheetV0d9d4,759,0,74,0,158,0,69,0,32,0
SPDX tools,org.spdx.spdxspreadsheet,PerFileSheetV1d2,1272,0,150,0,208,0,84,0,9,0
SPDX tools,org.spdx.spdxspreadsheet,PerFileSheetV1d1,890,0,100,0,149,0,58,0,8,0
SPDX tools,org.spdx.spdxspreadsheet,ExternalRefsSheet,241,380,44,34,59,71,33,15,3,6
SPDX tools,org.spdx.spdxspreadsheet,AnnotationsSheet,65,438,21,39,8,86,21,17,0,8
SPDX tools,org.spdx.spdxspreadsheet,NonStandardLicensesSheetV1d1,238,355,43,35,57,65,32,18,2,9
SPDX tools,org.spdx.spdxspreadsheet,RelationshipsSheet,84,422,19,43,12,86,19,20,0,8
SPDX tools,org.spdx.spdxspreadsheet,SPDXSpreadsheet,240,247,40,16,71,63,43,14,15,14
SPDX tools,org.spdx.spdxspreadsheet,PackageInfoSheet,67,64,10,10,11,16,9,5,0,4
SPDX tools,org.spdx.spdxspreadsheet,InvalidLicenseStringException,9,0,0,0,4,0,2,0,2,0
SPDX tools,org.spdx.spdxspreadsheet,PackageInfoSheetV09d2,1132,0,108,0,190,0,62,0,8,0
SPDX tools,org.spdx.spdxspreadsheet,PackageInfoSheetV2d1,602,1043,90,94,114,170,70,30,2,6
SPDX tools,org.spdx.spdxspreadsheet,PackageInfoSheetV2d0,1483,0,154,0,251,0,85,0,8,0
SPDX tools,org.spdx.spdxspreadsheet,PackageInfoSheetV2d2,306,1382,85,105,49,243,77,26,0,8
SPDX tools,org.spdx.spdxspreadsheet,PackageInfoSheetV09d3,1312,0,144,0,222,0,80,0,8,0
SPDX tools,org.spdx.spdxspreadsheet,SnippetSheet,351,1000,62,88,55,202,60,24,0,9
SPDX tools,org.spdx.spdxspreadsheet,DocumentInfoSheet,39,121,7,11,7,33,7,12,0,10
SPDX tools,org.spdx.spdxspreadsheet,PackageInfoSheetV1d2,1386,0,152,0,234,0,84,0,8,0
SPDX tools,org.spdx.spdxspreadsheet,OriginsSheetV2d0,705,760,81,49,162,109,62,37,12,22
SPDX tools,org.spdx.spdxspreadsheet,ReviewersSheet,176,227,28,26,40,47,23,13,2,7
SPDX tools,org.spdx.spdxspreadsheet,PackageInfoSheetV9d1,1084,0,100,0,182,0,58,0,8,0
SPDX tools,org.spdx.spdxspreadsheet,NonStandardLicensesSheetV0d9d4,336,0,40,0,79,0,32,0,12,0
SPDX tools,org.spdx.spdxspreadsheet,OriginsSheetV1d2,837,0,76,0,163,0,70,0,32,0
SPDX tools,org.spdx.spdxspreadsheet,SpreadsheetException,9,0,0,0,4,0,2,0,2,0
SPDX tools,org.spdx.spdxspreadsheet,OriginsSheetV1d1,801,0,74,0,159,0,69,0,32,0
SPDX tools,org.spdx.licenseTemplate,TextTemplateOutputHandler,0,28,0,0,0,10,0,7,0,7
SPDX tools,org.spdx.licenseTemplate,HtmlTemplateOutputHandler,35,277,16,32,8,61,15,24,1,14
SPDX tools,org.spdx.licenseTemplate,LicenseTemplateRule.RuleType,0,39,0,0,0,1,0,2,0,2
SPDX tools,org.spdx.licenseTemplate,LicenseTemplateRuleException,9,0,0,0,4,0,2,0,2,0
SPDX tools,org.spdx.licenseTemplate,SpdxLicenseTemplateHelper,62,330,6,30,10,90,7,24,1,12
SPDX tools,org.spdx.licenseTemplate,LicenseTemplateRule,75,357,11,37,15,96,12,33,2,19
SPDX tools,org.spdx.rdfparser.referencetype,ReferenceType,115,96,15,7,29,32,19,12,8,12
SPDX tools,org.spdx.rdfparser.referencetype,ListedReferenceTypes,80,199,4,14,15,49,4,14,0,9
SPDX tools,org.spdx.rdfparser.license,NoListedLicenseRdfModel,9,0,0,0,4,0,2,0,2,0
SPDX tools,org.spdx.rdfparser.license,LicenseJsonTOC.LicenseJson,30,0,0,0,9,0,9,0,9,0
SPDX tools,org.spdx.rdfparser.license,LicenseExpressionParser,97,514,21,69,18,119,20,35,1,9
SPDX tools,org.spdx.rdfparser.license,ExceptionJsonTOC.TOCExceptionJson,27,0,0,0,8,0,8,0,8,0
SPDX tools,org.spdx.rdfparser.license,LicenseParserException,9,0,0,0,4,0,2,0,2,0
SPDX tools,org.spdx.rdfparser.license,ListedLicenses,452,660,41,57,97,172,41,33,7,18
SPDX tools,org.spdx.rdfparser.license,ListedLicenseException,91,101,6,0,20,23,9,7,6,7
SPDX tools,org.spdx.rdfparser.license,ExceptionJsonTOC,8,35,1,3,3,7,3,4,2,3
SPDX tools,org.spdx.rdfparser.license,LicenseExpressionParser.Operator,0,49,0,0,0,2,0,2,0,2
SPDX tools,org.spdx.rdfparser.license,License,316,1022,77,161,49,246,64,87,4,28
SPDX tools,org.spdx.rdfparser.license,ListedExceptions,396,443,33,33,92,114,36,20,11,12
SPDX tools,org.spdx.rdfparser.license,ConjunctiveLicenseSet,11,280,5,41,5,77,5,28,0,10
SPDX tools,org.spdx.rdfparser.license,SpdxNoneLicense,9,29,1,1,4,12,4,9,3,9
SPDX tools,org.spdx.rdfparser.license,DuplicateExtractedLicenseIdException,5,4,0,0,2,2,1,1,1,1
SPDX tools,org.spdx.rdfparser.license,SpdxListedLicenseException,16,0,0,0,8,0,4,0,4,0
SPDX tools,org.spdx.rdfparser.license,ListedExceptions.new IModelContainer() {...},16,15,0,0,8,2,8,2,8,2
SPDX tools,org.spdx.rdfparser.license,LicenseSet,66,214,12,18,13,49,9,14,1,7
SPDX tools,org.spdx.rdfparser.license,WithExceptionOperator,120,473,32,42,30,109,26,28,2,15
SPDX tools,org.spdx.rdfparser.license,LicenseJsonTOC,8,38,1,3,3,7,3,4,2,3
SPDX tools,org.spdx.rdfparser.license,LicenseException,89,1337,44,116,23,280,43,73,4,32
SPDX tools,org.spdx.rdfparser.license,LicenseRestrictionException,16,0,0,0,8,0,4,0,4,0
SPDX tools,org.spdx.rdfparser.license,AnyLicenseInfo,0,16,0,0,0,6,0,4,0,4
SPDX tools,org.spdx.rdfparser.license,SpdxListedLicense,127,234,17,9,24,44,14,18,3,16
SPDX tools,org.spdx.rdfparser.license,DisjunctiveLicenseSet,13,278,6,40,6,76,6,27,0,10
SPDX tools,org.spdx.rdfparser.license,ListedLicenses.new IModelContainer() {...},14,17,0,0,7,3,7,3,7,3
SPDX tools,org.spdx.rdfparser.license,SpdxNoAssertionLicense,5,33,1,1,3,13,3,10,2,10
SPDX tools,org.spdx.rdfparser.license,ExtractedLicenseInfo,97,220,25,27,21,58,18,23,1,14
SPDX tools,org.spdx.rdfparser.license,CrossRef,42,536,17,45,7,120,16,41,0,26
SPDX tools,org.spdx.rdfparser.license,LicenseCsvException,9,0,0,0,4,0,2,0,2,0
SPDX tools,org.spdx.rdfparser.license,SimpleLicensingInfo,164,455,34,64,32,110,26,43,3,17
SPDX tools,org.spdx.rdfparser.license,OrLaterOperator,36,226,10,22,9,60,9,21,1,13
SPDX tools,org.spdx.rdfparser.license,LicenseInfoFactory,188,169,23,25,40,42,20,18,4,10
SPDX tools,org.spdx.tag,CommonCode,2354,21,357,1,424,8,195,1,16,1
SPDX tools,org.spdx.tag,NoCommentInputStream,38,181,4,28,7,49,4,19,0,7
SPDX tools,org.spdx.tag,BuildDocument.AnnotationWithId,5,43,0,0,2,15,1,8,1,8
SPDX tools,org.spdx.tag,BuildLegacyDocument,1361,0,170,0,254,0,97,0,12,0
