GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Java-WebSocket,org.java_websocket,AbstractWrappedByteChannel,27,70,3,13,6,16,7,12,4,7
Java-WebSocket,org.java_websocket,WebSocketImpl,1430,50,161,1,375,16,136,2,55,2
Java-WebSocket,org.java_websocket,AbstractWebSocket,253,0,24,0,73,0,24,0,12,0
Java-WebSocket,org.java_websocket,WebSocketAdapter,29,0,2,0,10,0,8,0,7,0
Java-WebSocket,org.java_websocket,SSLSocketChannel2,784,23,133,1,191,7,94,2,27,2
Java-WebSocket,org.java_websocket,AbstractWebSocket.new Runnable() {...},64,0,2,0,14,0,3,0,2,0
Java-WebSocket,org.java_websocket,SocketChannelIOHelper,122,4,31,1,33,2,19,1,3,1
Java-WebSocket,org.java_websocket,SSLSocketChannel,628,13,79,1,169,4,65,1,17,1
Java-WebSocket,org.java_websocket.exceptions,InvalidDataException,0,31,0,0,0,13,0,5,0,5
Java-WebSocket,org.java_websocket.exceptions,IncompleteHandshakeException,0,15,0,0,0,7,0,3,0,3
Java-WebSocket,org.java_websocket.exceptions,LimitExceededException,0,27,0,0,0,11,0,5,0,5
Java-WebSocket,org.java_websocket.exceptions,InvalidHandshakeException,0,20,0,0,0,8,0,4,0,4
Java-WebSocket,org.java_websocket.exceptions,InvalidEncodingException,7,8,1,1,3,3,2,1,1,1
Java-WebSocket,org.java_websocket.exceptions,WrappedIOException,0,15,0,0,0,6,0,3,0,3
Java-WebSocket,org.java_websocket.exceptions,IncompleteException,0,9,0,0,0,4,0,2,0,2
Java-WebSocket,org.java_websocket.exceptions,WebsocketNotConnectedException,0,3,0,0,0,1,0,1,0,1
Java-WebSocket,org.java_websocket.exceptions,NotSendableException,0,13,0,0,0,6,0,3,0,3
Java-WebSocket,org.java_websocket.exceptions,InvalidFrameException,0,20,0,0,0,8,0,4,0,4
Java-WebSocket,org.java_websocket.framing,PongFrame,5,7,0,0,2,3,0,2,0,2
Java-WebSocket,org.java_websocket.framing,ContinuousFrame,0,4,0,0,0,2,0,1,0,1
Java-WebSocket,org.java_websocket.framing,TextFrame,6,11,1,1,1,5,1,2,0,2
Java-WebSocket,org.java_websocket.framing,PingFrame,0,4,0,0,0,2,0,1,0,1
Java-WebSocket,org.java_websocket.framing,ControlFrame,0,37,0,8,0,11,0,6,0,2
Java-WebSocket,org.java_websocket.framing,BinaryFrame,0,4,0,0,0,2,0,1,0,1
Java-WebSocket,org.java_websocket.framing,CloseFrame,83,247,23,29,14,68,20,19,2,11
Java-WebSocket,org.java_websocket.framing,FramedataImpl1,85,294,16,33,11,80,11,35,1,18
Java-WebSocket,org.java_websocket.framing,DataFrame,0,5,0,0,0,3,0,2,0,2
Java-WebSocket,org.java_websocket.enums,ReadyState,0,27,0,0,0,2,0,1,0,1
Java-WebSocket,org.java_websocket.enums,CloseHandshakeType,0,21,0,0,0,2,0,1,0,1
Java-WebSocket,org.java_websocket.enums,HandshakeState,0,15,0,0,0,3,0,1,0,1
Java-WebSocket,org.java_websocket.enums,Role,0,15,0,0,0,2,0,1,0,1
Java-WebSocket,org.java_websocket.enums,Opcode,0,39,0,0,0,2,0,1,0,1
Java-WebSocket,org.java_websocket.extensions,DefaultExtension,25,36,7,5,6,11,6,13,2,11
Java-WebSocket,org.java_websocket.extensions,ExtensionRequestData,35,59,11,3,6,14,6,5,0,4
Java-WebSocket,org.java_websocket.extensions,CompressionExtension,37,10,12,2,7,4,7,2,0,2
Java-WebSocket,org.java_websocket.util,ByteBufferUtils,14,26,1,5,4,8,1,4,0,2
Java-WebSocket,org.java_websocket.util,Charsetfunctions,4,1704,2,4,2,25,2,10,0,9
Java-WebSocket,org.java_websocket.util,Base64,108,4466,19,49,24,109,18,26,0,9
Java-WebSocket,org.java_websocket.util,NamedThreadFactory,0,30,0,0,0,8,0,2,0,2
Java-WebSocket,org.java_websocket.util,Base64.OutputStream,19,229,3,27,6,47,3,18,0,6
Java-WebSocket,org.java_websocket.protocols,Protocol,10,90,2,12,3,22,3,12,1,7
Java-WebSocket,org.java_websocket.client,WebSocketClient,943,0,94,0,268,0,116,0,69,0
Java-WebSocket,org.java_websocket.client,WebSocketClient.new DnsResolver() {...},10,0,0,0,2,0,2,0,2,0
Java-WebSocket,org.java_websocket.client,WebSocketClient.WebsocketWriteThread,100,0,6,0,29,0,7,0,4,0
Java-WebSocket,org.java_websocket.extensions.permessage_deflate,PerMessageDeflateExtension,239,212,43,15,55,56,25,27,2,21
Java-WebSocket,org.java_websocket.drafts,Draft,502,57,58,6,110,16,42,8,11,7
Java-WebSocket,org.java_websocket.drafts,Draft_6455,1835,329,248,31,442,84,165,31,32,21
Java-WebSocket,org.java_websocket.drafts,Draft_6455.TranslatedPayloadMetaData,18,0,0,0,6,0,3,0,3,0
Java-WebSocket,org.java_websocket.handshake,HandshakedataImpl1,0,46,0,2,0,14,0,8,0,7
Java-WebSocket,org.java_websocket.handshake,HandshakeImpl1Server,0,17,0,0,0,7,0,5,0,5
Java-WebSocket,org.java_websocket.handshake,HandshakeImpl1Client,5,15,1,1,1,6,1,3,0,3
