GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
javaturorial,cn.byhieg.designpatterntutorial.singleton,SimpleSingleton,0,8,1,1,0,3,1,1,0,1
javaturorial,cn.byhieg.designpatterntutorial.singleton,StaticSingleton.Holder,0,5,0,0,0,1,0,1,0,1
javaturorial,cn.byhieg.designpatterntutorial.singleton,StaticSingleton,0,2,0,0,0,1,0,1,0,1
javaturorial,cn.byhieg.designpatterntutorial.singleton,EnumSingleton,0,10,0,0,0,3,0,2,0,2
javaturorial,cn.byhieg.designpatterntutorial.singleton,DCLSingleton,0,17,2,2,0,6,2,1,0,1
javaturorial,cn.byhieg.designpatterntutorial.singleton,HungrySingleton,5,0,0,0,1,0,1,0,1,0
javaturorial,cn.byhieg.collectiontutorial.listtutorial,SimpleLinkedList.Node,0,12,0,0,0,5,0,1,0,1
javaturorial,cn.byhieg.collectiontutorial.listtutorial,LinkedListDemo,0,15,0,0,0,5,0,3,0,3
javaturorial,cn.byhieg.collectiontutorial.listtutorial,ArrayListDemo,0,30,0,0,0,8,0,5,0,5
javaturorial,cn.byhieg.collectiontutorial.listtutorial,SimpleArrayList,38,220,9,29,10,48,7,27,1,14
javaturorial,cn.byhieg.collectiontutorial.listtutorial,SimpleLinkedList,28,229,6,28,8,68,5,26,0,14
javaturorial,cn.byhieg.designpatterntutorial.builder,SimpleDialog.Builder,0,64,0,0,0,17,0,7,0,7
javaturorial,cn.byhieg.designpatterntutorial.builder,SimpleDialogController,3,35,0,0,1,15,1,10,1,10
javaturorial,cn.byhieg.designpatterntutorial.builder,SimpleDialog,0,33,0,0,0,13,0,6,0,6
javaturorial,cn.byhieg.designpatterntutorial.builder,Person,0,41,0,0,0,11,0,6,0,6
javaturorial,cn.byhieg.designpatterntutorial.builder,SimpleDialogController.DialogParams,0,39,0,10,0,12,0,7,0,2
javaturorial,cn.byhieg.designpatterntutorial.builder,Person.Builder,0,28,0,0,0,10,0,6,0,6
javaturorial,cn.byhieg.threadtutorial.concurrent.blocking,ArrayBlock,5,21,1,3,1,8,1,4,0,2
javaturorial,cn.byhieg.threadtutorial.concurrent.blocking,Costumer,28,2,0,0,10,1,1,1,1,1
javaturorial,cn.byhieg.threadtutorial.concurrent.blocking,Producer,34,0,2,0,12,0,3,0,2,0
javaturorial,cn.byhieg.threadtutorial.char04,ThreadB,4,8,0,0,2,4,0,2,0,2
