GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Java,default,ClazzUtils,290,0,48,0,72,0,30,0,6,0
Java,com.thealgorithms.strings.zigZagPattern,zigZagPattern,96,0,14,0,21,0,9,0,2,0
Java,com.thealgorithms.datastructures.trees,Main,82,0,8,0,22,0,8,0,4,0
Java,com.thealgorithms.datastructures.trees,RedBlackBST.Node,30,0,0,0,5,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,BSTRecursive,364,0,58,0,101,0,44,0,15,0
Java,com.thealgorithms.datastructures.trees,Node,132,0,24,0,40,0,18,0,6,0
Java,com.thealgorithms.datastructures.trees,CheckIfBinaryTreeBalanced.BinaryTree,9,0,0,0,2,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,BSTIterative,474,0,80,0,140,0,49,0,9,0
Java,com.thealgorithms.datastructures.trees,AVLTree,514,0,74,0,126,0,54,0,17,0
Java,com.thealgorithms.datastructures.trees,AVLSimple,284,0,34,0,51,0,26,0,9,0
Java,com.thealgorithms.datastructures.trees,CreateBSTFromSortedArray,147,0,2,0,21,0,5,0,4,0
Java,com.thealgorithms.datastructures.trees,NRKTree,56,0,6,0,17,0,6,0,3,0
Java,com.thealgorithms.datastructures.trees,BinaryTree,397,0,64,0,114,0,43,0,11,0
Java,com.thealgorithms.datastructures.trees,TrieImp.TrieNode,13,0,0,0,4,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,RedBlackBST,896,0,104,0,228,0,66,0,14,0
Java,com.thealgorithms.datastructures.trees,ValidBSTOrNot.Node,15,0,0,0,4,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,TreeRandomNode,62,0,2,0,18,0,5,0,4,0
Java,com.thealgorithms.datastructures.trees,TreeNode,12,0,0,0,4,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,LCA,169,0,16,0,36,0,13,0,5,0
Java,com.thealgorithms.datastructures.trees,ValidBSTOrNot,47,0,10,0,9,0,8,0,3,0
Java,com.thealgorithms.datastructures.trees,LazySegmentTree,156,0,20,0,29,0,17,0,7,0
Java,com.thealgorithms.datastructures.trees,TreeTraversal,55,0,0,0,21,0,2,0,2,0
Java,com.thealgorithms.datastructures.trees,KDTree,590,0,58,0,108,0,51,0,22,0
Java,com.thealgorithms.datastructures.trees,CeilInBinarySearchTree,33,0,8,0,9,0,6,0,2,0
Java,com.thealgorithms.datastructures.trees,AVLTree.Node,12,0,0,0,4,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,TreeRandomNode.Node,15,0,0,0,4,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,BSTIterative.Node,12,0,0,0,5,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,BinaryTree.Node,15,0,0,0,6,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,KDTree.Point,96,0,10,0,21,0,12,0,7,0
Java,com.thealgorithms.datastructures.trees,TrieImp,222,0,29,0,71,0,23,0,7,0
Java,com.thealgorithms.datastructures.trees,LevelOrderTraversal.Node,15,0,0,0,4,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,SegmentTree,254,0,26,0,42,0,19,0,6,0
Java,com.thealgorithms.datastructures.trees,VerticalOrderTraversal,202,0,14,0,39,0,10,0,3,0
Java,com.thealgorithms.datastructures.trees,CreateBinaryTreeFromInorderPreorder,381,0,8,0,56,0,9,0,5,0
Java,com.thealgorithms.datastructures.trees,Tree,91,0,10,0,24,0,8,0,3,0
Java,com.thealgorithms.datastructures.trees,AVLSimple.Node,12,0,0,0,4,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,KDTree.Node,65,0,4,0,17,0,10,0,8,0
Java,com.thealgorithms.datastructures.trees,BSTRecursiveGeneric.Node,0,12,0,0,0,5,0,1,0,1
Java,com.thealgorithms.datastructures.trees,BSTRecursiveGeneric,435,76,64,10,108,22,44,10,11,6
Java,com.thealgorithms.datastructures.trees,QItem,9,0,0,0,4,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,LevelOrderTraversalQueue,41,0,6,0,12,0,5,0,2,0
Java,com.thealgorithms.datastructures.trees,BSTRecursive.Node,12,0,0,0,5,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,GenericTree,453,0,42,0,94,0,42,0,21,0
Java,com.thealgorithms.datastructures.trees,LevelOrderTraversal,70,0,10,0,18,0,9,0,4,0
Java,com.thealgorithms.datastructures.trees,LevelOrderTraversalQueue.Node,15,0,0,0,5,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,CheckIfBinaryTreeBalanced.BTNode,15,0,0,0,5,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,GenericTree.Node,11,0,0,0,2,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,LazySegmentTree.Node,116,0,14,0,27,0,14,0,7,0
Java,com.thealgorithms.datastructures.trees,PrintTopViewofTree,55,0,0,0,11,0,2,0,2,0
Java,com.thealgorithms.datastructures.trees,CheckIfBinaryTreeBalanced,379,0,24,0,81,0,19,0,7,0
Java,com.thealgorithms.datastructures.trees,FenwickTree,56,0,4,0,15,0,5,0,3,0
Java,com.thealgorithms.devutils.nodes,SimpleNode,0,28,0,2,0,11,0,7,0,6
Java,com.thealgorithms.devutils.nodes,LargeTreeNode,0,38,1,3,0,13,1,8,0,7
Java,com.thealgorithms.devutils.nodes,Node,0,16,0,0,0,7,0,4,0,4
Java,com.thealgorithms.devutils.nodes,TreeNode,0,51,0,2,0,16,0,8,0,7
Java,com.thealgorithms.devutils.nodes,SimpleTreeNode,0,47,1,3,0,17,1,10,0,9
Java,com.thealgorithms.datastructures.buffers,CircularBuffer.CircularPointer,28,0,2,0,9,0,3,0,2,0
Java,com.thealgorithms.datastructures.buffers,CircularBuffer,82,0,8,0,18,0,9,0,5,0
Java,com.thealgorithms.conversions,BinaryToDecimal,49,0,2,0,13,0,3,0,2,0
Java,com.thealgorithms.conversions,RomanToInteger.new HashMap() {...},52,0,0,0,9,0,1,0,1,0
Java,com.thealgorithms.conversions,AnyBaseToAnyBase,344,0,28,0,50,0,18,0,4,0
Java,com.thealgorithms.conversions,RomanToInteger,80,0,8,0,19,0,8,0,4,0
Java,com.thealgorithms.conversions,TurkishToLatinConversion,159,0,2,0,13,0,4,0,3,0
Java,com.thealgorithms.conversions,OctalToHexadecimal,83,0,6,0,26,0,7,0,4,0
Java,com.thealgorithms.conversions,HexaDecimalToDecimal,53,0,2,0,15,0,4,0,3,0
