GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-io-guide,com.javaguides.javaio.zipexamples,DecompressZipExample,48,48,4,2,14,13,4,2,1,2
java-io-guide,com.javaguides.javaio.zipexamples,CompressMultipleFilesToZip,85,56,8,2,16,15,7,3,3,2
java-io-guide,com.javaguides.javaio.zipexamples,CompressZipFile,43,3,2,0,12,1,2,1,1,1
java-io-guide,com.javaguides.javaio.fileoperations.fileexamples,CopyFileExample,13,28,1,1,5,8,2,3,1,3
java-io-guide,com.javaguides.javaio.fileoperations.fileexamples,TwoFilesEqualExample,74,3,12,0,19,1,8,1,2,1
java-io-guide,com.javaguides.javaio.fileoperations.fileexamples,CreateFileExample,13,18,2,0,6,7,2,3,1,3
java-io-guide,com.javaguides.javaio.fileoperations.fileexamples,WriteFileExample,16,13,0,0,6,5,1,3,1,3
java-io-guide,com.javaguides.javaio.fileoperations.fileexamples,AppendFileExample,7,25,0,0,4,9,1,3,1,3
java-io-guide,com.javaguides.javaio.fileoperations.fileexamples,GetFileExtensionExample,50,3,4,0,11,1,4,1,2,1
java-io-guide,com.javaguides.javaio.fileoperations.fileexamples,RenameFileExample,6,25,1,1,3,7,2,3,1,3
java-io-guide,com.javaguides.javaio.fileoperations.fileexamples,MoveFileExample,6,25,1,1,3,7,2,3,1,3
java-io-guide,com.javaguides.javaio.fileoperations.fileexamples,DeleteFileExample,8,19,1,1,3,7,2,3,1,3
java-io-guide,com.javaguides.javaio.ioexamples,FileWritterExample,26,3,2,0,10,1,2,1,1,1
java-io-guide,com.javaguides.javaio.ioexamples,Employee,0,17,0,0,0,7,0,5,0,5
java-io-guide,com.javaguides.javaio.ioexamples,DataInputStreamExample,48,3,2,0,12,1,2,1,1,1
java-io-guide,com.javaguides.javaio.ioexamples,DataOutputStreamExample,110,7,2,0,12,2,2,2,1,2
java-io-guide,com.javaguides.javaio.ioexamples,FileUtility,0,4,0,0,0,2,0,2,0,2
java-io-guide,com.javaguides.javaio.ioexamples,BufferedInputStreamExample,26,3,2,0,8,1,2,1,1,1
java-io-guide,com.javaguides.javaio.ioexamples,BufferedWriterExample,21,3,0,0,8,1,1,1,1,1
java-io-guide,com.javaguides.javaio.ioexamples,BufferedOutputStreamExample,32,3,2,0,11,1,2,1,1,1
java-io-guide,com.javaguides.javaio.ioexamples,FileOutputStreamExample,34,7,2,0,12,3,2,2,1,2
java-io-guide,com.javaguides.javaio.ioexamples,FileInputStreamExample,31,3,2,0,9,1,2,1,1,1
java-io-guide,com.javaguides.javaio.ioexamples,ObjectInputStreamExample,30,3,0,0,9,1,1,1,1,1
java-io-guide,com.javaguides.javaio.ioexamples,BufferedReaderExample,24,3,2,0,8,1,2,1,1,1
java-io-guide,com.javaguides.javaio.oracle,DataStreams,105,73,2,0,20,4,2,2,1,2
java-io-guide,com.javaguides.javaio.oracle,CopyBytes,33,3,6,0,11,1,4,1,1,1
java-io-guide,com.javaguides.javaio.oracle,ObjectStreams,128,88,2,0,24,4,2,2,1,2
java-io-guide,com.javaguides.javaio.oracle,CopyCharacters,33,3,6,0,11,1,4,1,1,1
java-io-guide,com.javaguides.javaio,WriteFileExamples,46,316,3,7,18,55,4,10,1,8
java-io-guide,com.javaguides.javaio,ReadFileExamples,3,31,0,2,2,8,0,3,0,2
java-io-guide,com.javaguides.javaio,FileOperations,51,240,2,10,20,70,3,15,1,11
