GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Reflections,org.reflections,ReflectionUtils,230,132,19,5,29,26,37,13,26,12
Reflections,org.reflections,Reflections,1086,0,66,0,166,0,94,0,61,0
Reflections,org.reflections,ReflectionsException,0,13,0,0,0,6,0,3,0,3
Reflections,org.reflections,Store,0,7,0,0,0,2,0,2,0,2
Reflections,org.reflections,ReflectionUtils.new UtilQueryBuilder() {...},9,11,0,0,1,2,1,2,1,2
Reflections,org.reflections,ReflectionUtils.new UtilQueryBuilder() {...},0,25,0,0,0,3,0,4,0,4
Reflections,org.reflections,ReflectionUtils.new UtilQueryBuilder() {...},19,3,0,0,2,1,3,1,3,1
Reflections,org.reflections.util,ClasspathHelper,452,176,57,21,97,38,43,15,11,8
Reflections,org.reflections.util,AnnotationMergeCollector,125,30,18,0,14,13,20,8,11,8
Reflections,org.reflections.util,NameHelper,331,261,41,11,46,24,33,13,9,11
Reflections,org.reflections.util,FilterBuilder.Exclude,0,19,0,2,0,3,0,4,0,3
Reflections,org.reflections.util,QueryBuilder,106,0,0,0,16,0,17,0,17,0
Reflections,org.reflections.util,FilterBuilder.Include,0,15,0,0,0,3,0,3,0,3
Reflections,org.reflections.util,UtilQueryBuilder,37,0,0,0,4,0,5,0,5,0
Reflections,org.reflections.util,ReflectionUtilsPredicates,432,64,96,10,39,17,91,18,43,13
Reflections,org.reflections.util,QueryFunction,141,126,7,5,10,18,18,17,14,15
Reflections,org.reflections.util,JavassistHelper,288,0,32,0,44,0,32,0,16,0
Reflections,org.reflections.util,ConfigurationBuilder,139,296,18,26,10,59,15,34,1,26
Reflections,org.reflections.util,FilterBuilder,2,234,3,28,0,38,3,28,0,15
Reflections,org.reflections.util,FilterBuilder.Matcher,4,39,1,7,1,3,2,6,1,3
Reflections,org.reflections.vfs,ZipFile,32,9,0,0,5,4,4,1,4,1
Reflections,org.reflections.vfs,ZipDir,46,14,5,1,9,5,8,3,5,3
Reflections,org.reflections.vfs,UrlTypeVFS,135,114,22,8,22,22,16,8,3,6
Reflections,org.reflections.vfs,Vfs.Dir,0,1,0,0,0,1,0,1,0,1
Reflections,org.reflections.vfs,JarInputFile.new InputStream() {...},36,6,4,0,5,1,3,1,1,1
Reflections,org.reflections.vfs,JarInputDir,19,20,3,1,4,9,4,3,2,3
Reflections,org.reflections.vfs,SystemDir,62,18,9,3,8,6,9,3,3,3
Reflections,org.reflections.vfs,Vfs.DefaultUrlTypes.new Vfs.DefaultUrlTypes() {...},28,5,8,0,5,1,6,1,2,1
Reflections,org.reflections.vfs,Vfs,254,32,36,0,47,10,27,7,9,7
Reflections,org.reflections.vfs,Vfs.DefaultUrlTypes.new Vfs.DefaultUrlTypes() {...},54,6,12,0,9,2,7,2,1,2
Reflections,org.reflections.vfs,Vfs.DefaultUrlTypes.new Vfs.DefaultUrlTypes() {...},21,5,4,0,2,1,4,1,2,1
Reflections,org.reflections.vfs,Vfs.DefaultUrlTypes.new Vfs.DefaultUrlTypes() {...},5,10,0,0,1,2,1,2,1,2
Reflections,org.reflections.vfs,Vfs.DefaultUrlTypes.new Vfs.DefaultUrlTypes() {...},25,7,0,0,2,2,1,2,1,2
Reflections,org.reflections.vfs,Vfs.DefaultUrlTypes.new Vfs.DefaultUrlTypes() {...},20,5,4,0,2,1,4,1,2,1
Reflections,org.reflections.vfs,Vfs.DefaultUrlTypes.new Vfs.DefaultUrlTypes() {...},8,5,0,0,2,1,2,1,2,1
Reflections,org.reflections.vfs,SystemFile,44,9,2,0,9,4,5,1,4,1
Reflections,org.reflections.vfs,JbossDir,40,0,2,0,9,0,6,0,5,0
Reflections,org.reflections.vfs,JbossDir.new Iterator() {...},72,0,8,0,16,0,8,0,4,0
Reflections,org.reflections.vfs,Vfs.DefaultUrlTypes,0,45,0,0,0,8,0,1,0,1
Reflections,org.reflections.vfs,JarInputDir.new Iterator() {...},100,0,10,0,19,0,9,0,4,0
Reflections,org.reflections.vfs,JarInputFile,16,20,0,0,3,7,2,2,2,2
