GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SPDX tools,org.spdx.spdxspreadsheet,NonStandardLicensesSheet,30,0,2,0,8,0,4,0,3,0
SPDX tools,org.spdx.spdxspreadsheet,AbstractSpreadsheet,144,0,14,0,48,0,11,0,4,0
SPDX tools,org.spdx.spdxspreadsheet,PerFileSheetV2d2,1380,0,176,0,230,0,97,0,9,0
SPDX tools,org.spdx.spdxspreadsheet,PerFileSheetV2d0,1324,0,168,0,223,0,93,0,9,0
SPDX tools,org.spdx.spdxspreadsheet,PerFileSheetV09d3,773,0,94,0,143,0,55,0,8,0
SPDX tools,org.spdx.spdxspreadsheet,AbstractSheet,471,0,40,0,125,0,33,0,13,0
SPDX tools,org.spdx.spdxspreadsheet,PerFileSheet,127,0,8,0,33,0,9,0,5,0
SPDX tools,org.spdx.spdxspreadsheet,OriginsSheetV0d9d4,704,0,74,0,158,0,69,0,32,0
SPDX tools,org.spdx.spdxspreadsheet,PerFileSheetV1d2,1213,0,150,0,208,0,84,0,9,0
SPDX tools,org.spdx.spdxspreadsheet,PerFileSheetV1d1,837,0,100,0,149,0,58,0,8,0
SPDX tools,org.spdx.spdxspreadsheet,ExternalRefsSheet,581,0,78,0,130,0,48,0,9,0
SPDX tools,org.spdx.spdxspreadsheet,AnnotationsSheet,469,0,60,0,94,0,38,0,8,0
SPDX tools,org.spdx.spdxspreadsheet,NonStandardLicensesSheetV1d1,564,0,78,0,122,0,50,0,11,0
SPDX tools,org.spdx.spdxspreadsheet,RelationshipsSheet,466,0,62,0,98,0,39,0,8,0
SPDX tools,org.spdx.spdxspreadsheet,SPDXSpreadsheet,467,0,56,0,134,0,57,0,29,0
SPDX tools,org.spdx.spdxspreadsheet,PackageInfoSheet,131,0,20,0,27,0,14,0,4,0
SPDX tools,org.spdx.spdxspreadsheet,InvalidLicenseStringException,0,9,0,0,0,4,0,2,0,2
SPDX tools,org.spdx.spdxspreadsheet,PackageInfoSheetV09d2,1076,0,108,0,190,0,62,0,8,0
SPDX tools,org.spdx.spdxspreadsheet,PackageInfoSheetV2d1,1531,0,184,0,284,0,100,0,8,0
SPDX tools,org.spdx.spdxspreadsheet,PackageInfoSheetV2d0,1378,0,154,0,251,0,85,0,8,0
SPDX tools,org.spdx.spdxspreadsheet,PackageInfoSheetV09d3,1238,0,144,0,222,0,80,0,8,0
SPDX tools,org.spdx.spdxspreadsheet,PackageInfoSheetV2d2,1574,0,190,0,292,0,103,0,8,0
SPDX tools,org.spdx.spdxspreadsheet,SnippetSheet,1211,0,150,0,257,0,84,0,9,0
SPDX tools,org.spdx.spdxspreadsheet,DocumentInfoSheet,160,0,18,0,40,0,19,0,10,0
SPDX tools,org.spdx.spdxspreadsheet,PackageInfoSheetV1d2,1312,0,152,0,234,0,84,0,8,0
SPDX tools,org.spdx.spdxspreadsheet,OriginsSheetV2d0,1373,0,130,0,271,0,99,0,34,0
SPDX tools,org.spdx.spdxspreadsheet,ReviewersSheet,370,0,54,0,87,0,36,0,9,0
SPDX tools,org.spdx.spdxspreadsheet,PackageInfoSheetV9d1,1028,0,100,0,182,0,58,0,8,0
SPDX tools,org.spdx.spdxspreadsheet,NonStandardLicensesSheetV0d9d4,313,0,40,0,79,0,32,0,12,0
SPDX tools,org.spdx.spdxspreadsheet,OriginsSheetV1d2,782,0,76,0,163,0,70,0,32,0
SPDX tools,org.spdx.spdxspreadsheet,OriginsSheetV1d1,746,0,74,0,159,0,69,0,32,0
SPDX tools,org.spdx.spdxspreadsheet,SpreadsheetException,0,9,0,0,0,4,0,2,0,2
SPDX tools,org.spdx.licenseTemplate,TextTemplateOutputHandler,7,21,0,0,2,8,1,6,1,6
SPDX tools,org.spdx.licenseTemplate,HtmlTemplateOutputHandler,124,182,16,32,27,42,14,25,3,12
SPDX tools,org.spdx.licenseTemplate,LicenseTemplateRule.RuleType,0,21,0,0,0,1,0,1,0,1
SPDX tools,org.spdx.licenseTemplate,LicenseTemplateRuleException,0,9,0,0,0,4,0,2,0,2
SPDX tools,org.spdx.licenseTemplate,SpdxLicenseTemplateHelper,261,112,28,8,69,31,22,9,6,7
SPDX tools,org.spdx.licenseTemplate,LicenseTemplateRule,161,247,26,22,36,75,19,26,2,19
SPDX tools,org.spdx.rdfparser.referencetype,ReferenceType,211,0,22,0,61,0,31,0,20,0
SPDX tools,org.spdx.rdfparser.referencetype,ListedReferenceTypes,235,0,18,0,64,0,18,0,9,0
SPDX tools,org.spdx.rdfparser.license,NoListedLicenseRdfModel,0,9,0,0,0,4,0,2,0,2
SPDX tools,org.spdx.rdfparser.license,LicenseJsonTOC.LicenseJson,0,30,0,0,0,9,0,9,0,9
SPDX tools,org.spdx.rdfparser.license,LicenseExpressionParser,597,0,90,0,137,0,55,0,10,0
SPDX tools,org.spdx.rdfparser.license,ExceptionJsonTOC.TOCExceptionJson,0,27,0,0,0,8,0,8,0,8
SPDX tools,org.spdx.rdfparser.license,LicenseParserException,0,9,0,0,0,4,0,2,0,2
SPDX tools,org.spdx.rdfparser.license,ListedLicenses,983,0,98,0,269,0,74,0,25,0
SPDX tools,org.spdx.rdfparser.license,ListedLicenseException,177,0,6,0,43,0,16,0,13,0
SPDX tools,org.spdx.rdfparser.license,ExceptionJsonTOC,34,9,4,0,7,3,4,3,2,3
SPDX tools,org.spdx.rdfparser.license,LicenseExpressionParser.Operator,27,0,0,0,2,0,1,0,1,0
SPDX tools,org.spdx.rdfparser.license,License,1332,0,238,0,295,0,151,0,32,0
SPDX tools,org.spdx.rdfparser.license,ListedExceptions,738,0,66,0,206,0,56,0,23,0
SPDX tools,org.spdx.rdfparser.license,ConjunctiveLicenseSet,291,0,46,0,82,0,33,0,10,0
SPDX tools,org.spdx.rdfparser.license,SpdxNoneLicense,38,0,2,0,16,0,13,0,12,0
SPDX tools,org.spdx.rdfparser.license,DuplicateExtractedLicenseIdException,0,9,0,0,0,4,0,2,0,2
SPDX tools,org.spdx.rdfparser.license,SpdxListedLicenseException,0,16,0,0,0,8,0,4,0,4
SPDX tools,org.spdx.rdfparser.license,ListedExceptions.new IModelContainer() {...},31,0,0,0,10,0,10,0,10,0
SPDX tools,org.spdx.rdfparser.license,LicenseSet,280,0,30,0,62,0,23,0,8,0
SPDX tools,org.spdx.rdfparser.license,WithExceptionOperator,586,0,74,0,139,0,54,0,17,0
SPDX tools,org.spdx.rdfparser.license,LicenseJsonTOC,34,12,4,0,6,4,3,4,1,4
SPDX tools,org.spdx.rdfparser.license,LicenseException,1404,0,160,0,303,0,116,0,36,0
SPDX tools,org.spdx.rdfparser.license,LicenseRestrictionException,0,16,0,0,0,8,0,4,0,4
SPDX tools,org.spdx.rdfparser.license,AnyLicenseInfo,16,0,0,0,6,0,4,0,4,0
SPDX tools,org.spdx.rdfparser.license,SpdxListedLicense,323,0,26,0,68,0,32,0,19,0
SPDX tools,org.spdx.rdfparser.license,DisjunctiveLicenseSet,291,0,46,0,82,0,33,0,10,0
SPDX tools,org.spdx.rdfparser.license,ListedLicenses.new IModelContainer() {...},31,0,0,0,10,0,10,0,10,0
SPDX tools,org.spdx.rdfparser.license,SpdxNoAssertionLicense,38,0,2,0,16,0,13,0,12,0
SPDX tools,org.spdx.rdfparser.license,ExtractedLicenseInfo,291,0,52,0,79,0,41,0,15,0
SPDX tools,org.spdx.rdfparser.license,CrossRef,566,0,62,0,127,0,57,0,26,0
SPDX tools,org.spdx.rdfparser.license,LicenseCsvException,0,9,0,0,0,4,0,2,0,2
SPDX tools,org.spdx.rdfparser.license,SimpleLicensingInfo,614,0,98,0,142,0,69,0,20,0
SPDX tools,org.spdx.rdfparser.license,OrLaterOperator,256,0,32,0,69,0,30,0,14,0
SPDX tools,org.spdx.rdfparser.license,LicenseInfoFactory,337,0,48,0,82,0,38,0,14,0
SPDX tools,org.spdx.tag,CommonCode,1929,36,354,4,417,15,191,5,13,4
SPDX tools,org.spdx.tag,NoCommentInputStream,69,132,18,14,18,38,15,8,2,5
